Species,Species >1970,Species <1970,List,Region,Region code,Subregion,subregion code,Geo subreg,Lat,Long,Status comment,STATUS,Group,VER-INV-PP,NS stand,Year,Period,REL,EC,TC,TS-0ther,TS-ball,TS-hull,COR,UNA,UNK,,,,,,,,,
"Acrothamnion preissii (Sonder) E.M.Wollaston, 1968",,"Acrothamnion preissii (Sonder) E.M.Wollaston, 1968",msfd,Mediterranean Sea,MED,Central Mediterranean Sea,MIC,"34.317,15.830",34.317,15.83,,non-indigenous,Primary producer,PP,1997,1997,1994-1999,0.5,,,,,0.5,,,,,,,,,,,,
"Acrothamnion preissii (Sonder) E.M.Wollaston, 1968",,"Acrothamnion preissii (Sonder) E.M.Wollaston, 1968",msfd,North-East Atlantic,ATL,Macaronesia,AMA,"41.22,-29.28",41.22,-29.28,,non-indigenous,Primary producer,PP,,2009,2006-2011,,,,,0.5,0.5,,,,,,,,,,,,
"Acrothamnion preissii (Sonder) E.M.Wollaston, 1968",,"Acrothamnion preissii (Sonder) E.M.Wollaston, 1968",msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Primary producer,PP,1968,1968,<1970,0.5,,,,,0.5,,,,,,,,,,,,
"Acrothrix gracilis Kylin, 1907","Acrothrix gracilis Kylin, 1907",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,partly native NEA,non-indigenous,Primary producer,PP,1998,1998,1994-1999,,,1,,,,,,,,,,,,,,,
"Actaeodes tomentosus (H. Milne Edwards, 1834)","Actaeodes tomentosus (H. Milne Edwards, 1834)",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Invertebrate,INV,2013,2013,2012-2017,,,,,,,,1,,,,,,,,,,
"Acteocina mucronata (Philippi, 1849)","Acteocina mucronata (Philippi, 1849)",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Invertebrate,INV,1991,1991,1988-1993,,,,,,,,1,,,,,,,,,,
"Actumnus globulus Heller, 1861","Actumnus globulus Heller, 1861",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Invertebrate,INV,1978,1978,1976-1981,,,,0.333,0.333,0.333,,,,,,,,,,,,
"Adelosina carinatastriata (Wiesner, 1923)ex Quinqueloculina carinatastriata","Adelosina carinatastriata (Wiesner, 1923)ex Quinqueloculina carinatastriata",,msfd,North-East Atlantic,ATL,Bay of Biscay & Iberian Coast,ABI,"43.05,-11.45",43.05,-11.45,,non-indigenous,Primary producer,PP,2004,2004,2000-2005,,,,0.5,0.5,,,,,,,,,,,,,
Aerococcus viridans,,Aerococcus viridans,msfd,North-East Atlantic,ATL,Celtic Seas,ACS,"53.39,-14.17",53.39,-14.17,,pathogen/parasite,Primary producer,PP,,1961,<1970,1,,,,,,,,,,,,,,,,,
"Agardhiella subulata (C.Agardh) Kraft & M.J.Wynne, 1979","Agardhiella subulata (C.Agardh) Kraft & M.J.Wynne, 1979",,msfd,Mediterranean Sea,MED,Adriatic Sea,MAD,"42.448,15.357",42.448,15.357,,non-indigenous,Primary producer,PP,2003,2003,2000-2005,,,1,,,,,,,,,,,,,,,
