Species,Species >1970,Species <1970,List,Region,Region code,Subregion,subregion code,Geo subreg,Lat,Long,Status comment,STATUS,Group,VER-INV-PP,NS stand,Year,Period,REL,EC,TC,TS-0ther,TS-ball,TS-hull,COR,UNA,UNK,,,,,,,,,
"Holocentrus adscensionis (Osbeck, 1765)","Holocentrus adscensionis (Osbeck, 1765)",,msfd,North-East Atlantic,ATL,Macaronesia,AMA,"41.22,-29.28",41.22,-29.28,,range expanding,Vertebrate,VER,,1999,1994-1999,,,,,,,,,1,,,,,,,,,
"Holocentrus adscensionis (Osbeck, 1765)","Holocentrus adscensionis (Osbeck, 1765)",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Vertebrate,VER,2019,2019,2018-2020,,,,,,,,,1,,,,,,,,,
"Homarus americanus H. Milne Edwards, 1837",,"Homarus americanus H. Milne Edwards, 1837",msfd,Mediterranean Sea,MED,Adriatic Sea,MAD,"42.448,15.357",42.448,15.357,,non-indigenous,Invertebrate,INV,2018,2018,2018-2020,,1,,,,,,,,,,,,,,,,
"Homarus americanus H. Milne Edwards, 1837",,"Homarus americanus H. Milne Edwards, 1837",msfd,Baltic Sea,BAL,Baltic Sea,BAL,"58.537,20.435",58.537,20.435,,non-indigenous,Invertebrate,INV,2007,2007,2006-2011,0.5,0.5,,,,,,,,,,,,,,,,
"Homarus americanus H. Milne Edwards, 1837",,"Homarus americanus H. Milne Edwards, 1837",msfd,North-East Atlantic,ATL,Bay of Biscay & Iberian Coast,ABI,"43.05,-11.45",43.05,-11.45,,non-indigenous,Invertebrate,INV,2002,2002,2000-2005,,1,,,,,,,,,,,,,,,,
"Homarus americanus H. Milne Edwards, 1837",,"Homarus americanus H. Milne Edwards, 1837",msfd,North-East Atlantic,ATL,Celtic Seas,ACS,"53.39,-14.17",53.39,-14.17,,non-indigenous,Invertebrate,INV,,1961,<1970,,1,,,,,,,,,,,,,,,,
"Homarus americanus H. Milne Edwards, 1837",,"Homarus americanus H. Milne Edwards, 1837",msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Invertebrate,INV,2019,2019,2018-2020,,1,,,,,,,,,,,,,,,,
"Homarus americanus H. Milne Edwards, 1837",,"Homarus americanus H. Milne Edwards, 1837",msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,,non-indigenous,Invertebrate,INV,,1969,<1970,,1,,,,,,,,,,,,,,,,
"Huso huso (Linnaeus, 1758)",,"Huso huso (Linnaeus, 1758)",msfd,Baltic Sea,BAL,Baltic Sea,BAL,"58.537,20.435",58.537,20.435,,non-indigenous,Vertebrate,VER,1962,1962,<1970,,1,,,,,,,,,,,,,,,,
Hydroclathrus tilesii (Endlicher) Santiañez & M.J.Wynne,Hydroclathrus tilesii (Endlicher) Santiañez & M.J.Wynne,,msfd,North-East Atlantic,ATL,Macaronesia,AMA,"41.22,-29.28",41.22,-29.28,,non-indigenous,Primary producer,PP,,2006,2006-2011,,,,,,,,,1,,,,,,,,,
"Hydroides brachyacantha Rioja, 1941","Hydroides brachyacantha Rioja, 1941",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Invertebrate,INV,2015,2015,2012-2017,,,,,,1,,,,,,,,,,,,
"Hydroides brachyacantha Rioja, 1941","Hydroides brachyacantha Rioja, 1941",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Invertebrate,INV,2016,2016,2012-2017,,,,,,1,,,,,,,,,,,,
"Hydroides dirampha Mörch, 1863","Hydroides dirampha Mörch, 1863",,msfd,Mediterranean Sea,MED,Adriatic Sea,MAD,"42.448,15.357",42.448,15.357,,non-indigenous,Invertebrate,INV,2014,2014,2012-2017,,,,,,1,,,,,,,,,,,,
"Hydroides dirampha Mörch, 1863","Hydroides dirampha Mörch, 1863",,msfd,North-East Atlantic,ATL,Bay of Biscay & Iberian Coast,ABI,"43.05,-11.45",43.05,-11.45,,non-indigenous,Invertebrate,INV,1982,1982,1982-1987,,,,,,1,,,,,,,,,,,,
"Hydroides dirampha Mörch, 1863","Hydroides dirampha Mörch, 1863",,msfd,Mediterranean Sea,MED,Central Mediterranean Sea,MIC,"34.317,15.830",34.317,15.83,,non-indigenous,Invertebrate,INV,1981,1981,1976-1981,,,,,,1,,,,,,,,,,,,
"Hydroides dirampha Mörch, 1863","Hydroides dirampha Mörch, 1863",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Invertebrate,INV,2014,2014,2012-2017,,,,,,1,,,,,,,,,,,,
"Hydroides dirampha Mörch, 1863","Hydroides dirampha Mörch, 1863",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Invertebrate,INV,1981,1981,1976-1981,,,,,,1,,,,,,,,,,,,
"Hydroides elegans (Haswell, 1883)",,"Hydroides elegans (Haswell, 1883)",msfd,Mediterranean Sea,MED,Adriatic Sea,MAD,"42.448,15.357",42.448,15.357,,non-indigenous,Invertebrate,INV,1907,1907,<1970,,,,,,1,,,,,,,,,,,,
"Hydroides elegans (Haswell, 1883)",,"Hydroides elegans (Haswell, 1883)",msfd,North-East Atlantic,ATL,Bay of Biscay & Iberian Coast,ABI,"43.05,-11.45",43.05,-11.45,,non-indigenous,Invertebrate,INV,1984,1984,1982-1987,,,,,1,,,,,,,,,,,,,
"Hydroides elegans (Haswell, 1883)",,"Hydroides elegans (Haswell, 1883)",msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Invertebrate,INV,1976,1976,1976-1981,,,,,,1,,,,,,,,,,,,
"Hydroides elegans (Haswell, 1883)",,"Hydroides elegans (Haswell, 1883)",msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,,non-indigenous,Invertebrate,INV,,1973,1970-1975,,,,,,1,,,,,,,,,,,,
"Hydroides elegans (Haswell, 1883)",,"Hydroides elegans (Haswell, 1883)",msfd,North-East Atlantic,ATL,Macaronesia,AMA,"41.22,-29.28",41.22,-29.28,,non-indigenous,Invertebrate,INV,,1994,1994-1999,,,,,0.5,0.5,,,,,,,,,,,,
"Hydroides elegans (Haswell, 1883)",,"Hydroides elegans (Haswell, 1883)",msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Invertebrate,INV,1868,1868,<1970,,,,,,1,,,,,,,,,,,,
"Hydroides ezoensis Okuda, 1934",,"Hydroides ezoensis Okuda, 1934",msfd,North-East Atlantic,ATL,Bay of Biscay & Iberian Coast,ABI,"43.05,-11.45",43.05,-11.45,,non-indigenous,Invertebrate,INV,1968,1968,<1970,,,0.5,,0.5,,,,,,,,,,,,,
"Hydroides ezoensis Okuda, 1934",,"Hydroides ezoensis Okuda, 1934",msfd,North-East Atlantic,ATL,Celtic Seas,ACS,"53.39,-14.17",53.39,-14.17,,non-indigenous,Invertebrate,INV,,1974,1970-1975,,,0.5,,0.5,,,,,,,,,,,,,
"Hydroides ezoensis Okuda, 1934",,"Hydroides ezoensis Okuda, 1934",msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,,non-indigenous,Invertebrate,INV,,1997,1994-1999,,,0.5,,0.5,,,,,,,,,,,,,
"Hydroides heterocera (Grube, 1868)","Hydroides heterocera (Grube, 1868)",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Invertebrate,INV,1998,1998,1994-1999,,,,,0.333,0.333,,0.333,,,,,,,,,,
"Hymeniacidon gracilis (Hentschel, 1912)","Hymeniacidon gracilis (Hentschel, 1912)",,msfd,North-East Atlantic,ATL,Bay of Biscay & Iberian Coast,ABI,"43.05,-11.45",43.05,-11.45,,non-indigenous,Invertebrate,INV,2017,2017,2012-2017,,,,,,1,,,,,,,,,,,,
"Hypania invalida (Grube, 1860) ","Hypania invalida (Grube, 1860) ",,msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,,non-indigenous,Invertebrate,INV,,1995,1994-1999,,,,,1,,,,,,,,,,,,,
"Hypereteone heteropoda (Hartman, 1951)","Hypereteone heteropoda (Hartman, 1951)",,msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,,non-indigenous,Invertebrate,INV,,2017,2012-2017,,,,,,,,,1,,,,,,,,,
"Hypleurochilus pseudoaquipinis Bath, 1994 ","Hypleurochilus pseudoaquipinis Bath, 1994 ",,msfd,North-East Atlantic,ATL,Macaronesia,AMA,"41.22,-29.28",41.22,-29.28,,absent,Vertebrate,VER,,2013,2012-2017,,,,1,,,,,,,,,,,,,,
Hypnea flagelliformis Greville ex J.Agardh,Hypnea flagelliformis Greville ex J.Agardh,,msfd,North-East Atlantic,ATL,Macaronesia,AMA,"41.22,-29.28",41.22,-29.28,"partly native, NEA-Med",non-indigenous,Primary producer,PP,,2002,2000-2005,,,,,0.5,0.5,,,,,,,,,,,,
Hypnea musciformis (Wulfen) J.V.Lamouroux,Hypnea musciformis (Wulfen) J.V.Lamouroux,,msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,,non-indigenous,Primary producer,PP,,2005,2000-2005,,,,,,,,,1,,,,,,,,,
"Hypnea anastomosans Papenfuss, Lipkin & P.C.Silva, 2002","Hypnea anastomosans Papenfuss, Lipkin & P.C.Silva, 2002",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Primary producer,PP,2008,2008,2006-2011,,,,,,,,1,,,,,,,,,,
"Hypnea cervicornis J.Agardh, 1851","Hypnea cervicornis J.Agardh, 1851",,msfd,Mediterranean Sea,MED,Adriatic Sea,MAD,"42.448,15.357",42.448,15.357,,non-indigenous,Primary producer,PP,2009,2009,2006-2011,,,0.5,,,0.5,,,,,,,,,,,,
"Hypnea cornuta (Kützing) J.Agardh, 1851",,"Hypnea cornuta (Kützing) J.Agardh, 1851",msfd,Mediterranean Sea,MED,Central Mediterranean Sea,MIC,"34.317,15.830",34.317,15.83,,non-indigenous,Primary producer,PP,2000,2000,2000-2005,,,,,,,,,1,,,,,,,,,
"Hypnea cornuta (Kützing) J.Agardh, 1851",,"Hypnea cornuta (Kützing) J.Agardh, 1851",msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Primary producer,PP,1894,1894,<1970,,,,,,,,,1,,,,,,,,,
"Hypnea cornuta (Kützing) J.Agardh, 1851",,"Hypnea cornuta (Kützing) J.Agardh, 1851",msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Primary producer,PP,2009,2009,2006-2011,,,,,,,,,1,,,,,,,,,
"Hypnea spinella (C.Agardh) Kützing, 1847","Hypnea spinella (C.Agardh) Kützing, 1847",,msfd,Mediterranean Sea,MED,Adriatic Sea,MAD,"42.448,15.357",42.448,15.357,,non-indigenous,Primary producer,PP,2010,2010,2006-2011,,,,0.5,,0.5,,,,,,,,,,,,
"Hypnea spinella (C.Agardh) Kützing, 1847","Hypnea spinella (C.Agardh) Kützing, 1847",,msfd,Mediterranean Sea,MED,Central Mediterranean Sea,MIC,"34.317,15.830",34.317,15.83,,non-indigenous,Primary producer,PP,2013,2013,2012-2017,,,,0.5,,0.5,,,,,,,,,,,,
"Hypnea spinella (C.Agardh) Kützing, 1847","Hypnea spinella (C.Agardh) Kützing, 1847",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Primary producer,PP,1979,1979,1976-1981,,,,0.5,,0.5,,,,,,,,,,,,
"Hypnea spinella (C.Agardh) Kützing, 1847","Hypnea spinella (C.Agardh) Kützing, 1847",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Primary producer,PP,1977,1977,1976-1981,,,,0.5,,0.5,,,,,,,,,,,,
"Hypnea valentiae (Turner) Montagne, 1841","Hypnea valentiae (Turner) Montagne, 1841",,msfd,North-East Atlantic,ATL,Bay of Biscay & Iberian Coast,ABI,"43.05,-11.45",43.05,-11.45,,non-indigenous,Primary producer,PP,2006,2006,2006-2011,,,1,,,,,,,,,,,,,,,
"Hypnea valentiae (Turner) Montagne, 1841","Hypnea valentiae (Turner) Montagne, 1841",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Primary producer,PP,2009,2009,2006-2011,,,1,,,,,,,,,,,,,,,
"Hypnea valentiae (Turner) Montagne, 1841","Hypnea valentiae (Turner) Montagne, 1841",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Primary producer,PP,1996,1996,1994-1999,,,1,,,,,,,,,,,,,,,
"Hypselodoris infucata (Rüppell & Leuckart, 1830)","Hypselodoris infucata (Rüppell & Leuckart, 1830)",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Invertebrate,INV,2002,2002,2000-2005,,,,,,,,1,,,,,,,,,,
"Ianiropsis serricaudis Gurjanova, 1936","Ianiropsis serricaudis Gurjanova, 1936",,msfd,Mediterranean Sea,MED,Adriatic Sea,MAD,"42.448,15.357",42.448,15.357,,non-indigenous,Invertebrate,INV,2012,2012,2012-2017,,0.5,,,,0.5,,,,,,,,,,,,
"Ianiropsis serricaudis Gurjanova, 1936","Ianiropsis serricaudis Gurjanova, 1936",,msfd,North-East Atlantic,ATL,Bay of Biscay & Iberian Coast,ABI,"43.05,-11.45",43.05,-11.45,,non-indigenous,Invertebrate,INV,2011,2011,2006-2011,,,0.5,,,0.5,,,,,,,,,,,,
"Ianiropsis serricaudis Gurjanova, 1936","Ianiropsis serricaudis Gurjanova, 1936",,msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,,non-indigenous,Invertebrate,INV,,2000,2000-2005,,0.5,,,,0.5,,,,,,,,,,,,
"Ianiropsis serricaudis Gurjanova, 1936","Ianiropsis serricaudis Gurjanova, 1936",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Invertebrate,INV,2014,2014,2012-2017,,0.5,,,,0.5,,,,,,,,,,,,
"Incisocalliope aestuarius (Watling & Maurer, 1973)","Incisocalliope aestuarius (Watling & Maurer, 1973)",,msfd,North-East Atlantic,ATL,Bay of Biscay & Iberian Coast,ABI,"43.05,-11.45",43.05,-11.45,,non-indigenous,Invertebrate,INV,1975-1976,1975,1970-1975,,,,,,,,,1,,,,,,,,,
"Incisocalliope aestuarius (Watling & Maurer, 1973)","Incisocalliope aestuarius (Watling & Maurer, 1973)",,msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,,non-indigenous,Invertebrate,INV,,1991,1988-1993,,,,,,,,,1,,,,,,,,,
"Indothais lacera (Born, 1778)","Indothais lacera (Born, 1778)",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Invertebrate,INV,1988,1988,1988-1993,,,1,,,,,,,,,,,,,,,
"Indothais lacera (Born, 1778)","Indothais lacera (Born, 1778)",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Invertebrate,INV,1983,1983,1982-1987,,,1,,,,,,,,,,,,,,,
Ischyrocerus commensalis,Ischyrocerus commensalis,,msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,"commensal, outside GNS (NO)",absent,Invertebrate,INV,,1995,1994-1999,,,1,,,,,,,,,,,,,,,
"Isognomon aff. australicus (Reeve, 1858)","Isognomon aff. australicus (Reeve, 1858)",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Invertebrate,INV,2016,2016,2012-2017,,,,,0.333,0.333,0.333,,,,,,,,,,,
"Isognomon legumen (Gmelin, 1791)","Isognomon legumen (Gmelin, 1791)",,msfd,Mediterranean Sea,MED,Central Mediterranean Sea,MIC,"34.317,15.830",34.317,15.83,,non-indigenous,Invertebrate,INV,2017,2017,2012-2017,,,,,,,,1,,,,,,,,,,
"Isognomon legumen (Gmelin, 1791)","Isognomon legumen (Gmelin, 1791)",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Invertebrate,INV,2016,2016,2012-2017,,,,,,,,1,,,,,,,,,,
"Isognomon radiatus (Anton, 1838)","Isognomon radiatus (Anton, 1838)",,msfd,North-East Atlantic,ATL,Celtic Seas,ACS,"53.39,-14.17",53.39,-14.17,,non-indigenous,Invertebrate,INV,,1996,1994-1999,,,,,,,,1,,,,,,,,,,
"Isolda pulchella Müller in Grube, 1858","Isolda pulchella Müller in Grube, 1858",,msfd,North-East Atlantic,ATL,Bay of Biscay & Iberian Coast,ABI,"43.05,-11.45",43.05,-11.45,,non-indigenous,Invertebrate,INV,2007-2008,2007,2006-2011,,,,,1,,,,,,,,,,,,,
"Ixa monodi Holthuis & Gottlieb, 1956","Ixa monodi Holthuis & Gottlieb, 1956",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Invertebrate,INV,1999,1999,1994-1999,,,,,,,,1,,,,,,,,,,
"Jassa marmorata Holmes, 1905 ","Jassa marmorata Holmes, 1905 ",,msfd,North-East Atlantic,ATL,Macaronesia,AMA,"41.22,-29.28",41.22,-29.28,cryptogenic,absent,Invertebrate,INV,,1991,1988-1993,,,,,,,,,1,,,,,,,,,
"Jasus lalandii (H. Milne Edwards, 1837)","Jasus lalandii (H. Milne Edwards, 1837)",,msfd,North-East Atlantic,ATL,Bay of Biscay & Iberian Coast,ABI,"43.05,-11.45",43.05,-11.45,,non-indigenous,Invertebrate,INV,1980,1980,1976-1981,,,,,1,,,,,,,,,,,,,
"Kapraunia schneideri (Stuercke & Freshwater) A.M.Savoie & G.W.Saunders, 2019","Kapraunia schneideri (Stuercke & Freshwater) A.M.Savoie & G.W.Saunders, 2019",,msfd,Mediterranean Sea,MED,Adriatic Sea,MAD,"42.448,15.357",42.448,15.357,,non-indigenous,Primary producer,PP,2016,2016,2012-2017,,0.5,,,,0.5,,,,,,,,,,,,
"Kapraunia schneideri (Stuercke & Freshwater) A.M.Savoie & G.W.Saunders, 2019","Kapraunia schneideri (Stuercke & Freshwater) A.M.Savoie & G.W.Saunders, 2019",,msfd,North-East Atlantic,ATL,Bay of Biscay & Iberian Coast,ABI,"43.05,-11.45",43.05,-11.45,,non-indigenous,Primary producer,PP,2010,2010,2006-2011,,0.5,,,,0.5,,,,,,,,,,,,
"Karenia longicanalis Z.B.Yang, I.J.Hodgkiss & Gerd Hansen, 2001","Karenia longicanalis Z.B.Yang, I.J.Hodgkiss & Gerd Hansen, 2001",,msfd,North-East Atlantic,ATL,Bay of Biscay & Iberian Coast,ABI,"43.05,-11.45",43.05,-11.45,,microalgae,Primary producer,PP,2008,2008,2006-2011,,,,,1,,,,,,,,,,,,,
"Karenia longicanalis Z.B.Yang, I.J.Hodgkiss & Gerd Hansen, 2001","Karenia longicanalis Z.B.Yang, I.J.Hodgkiss & Gerd Hansen, 2001",,msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,,microalgae,Primary producer,PP,,2008,2006-2011,,,,,1,,,,,,,,,,,,,
"Karenia mikimotoi (Miyake & Kominami ex Oda) Gert Hansen & Ø.Moestrup, 2000",,"Karenia mikimotoi (Miyake & Kominami ex Oda) Gert Hansen & Ø.Moestrup, 2000",msfd,Baltic Sea,BAL,Baltic Sea,BAL,"58.537,20.435",58.537,20.435,,microalgae,Primary producer,PP,1980,1980,1976-1981,,,,,0.5,,,0.5,,,,,,,,,,
"Karenia mikimotoi (Miyake & Kominami ex Oda) Gert Hansen & Ø.Moestrup, 2000",,"Karenia mikimotoi (Miyake & Kominami ex Oda) Gert Hansen & Ø.Moestrup, 2000",msfd,North-East Atlantic,ATL,Bay of Biscay & Iberian Coast,ABI,"43.05,-11.45",43.05,-11.45,,microalgae,Primary producer,PP,2003,2003,2000-2005,,,1,,,,,,,,,,,,,,,
"Karenia mikimotoi (Miyake & Kominami ex Oda) Gert Hansen & Ø.Moestrup, 2000",,"Karenia mikimotoi (Miyake & Kominami ex Oda) Gert Hansen & Ø.Moestrup, 2000",msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,,microalgae,Primary producer,PP,,1968,<1970,,,,,0.5,,,0.5,,,,,,,,,,
"Karenia papilionacea A.J.Haywood & K.A.Steidinger, 2004","Karenia papilionacea A.J.Haywood & K.A.Steidinger, 2004",,msfd,North-East Atlantic,ATL,Bay of Biscay & Iberian Coast,ABI,"43.05,-11.45",43.05,-11.45,,microalgae,Primary producer,PP,1994,1994,1994-1999,,,,,1,,,,,,,,,,,,,
"Karenia papilionacea A.J.Haywood & K.A.Steidinger, 2004","Karenia papilionacea A.J.Haywood & K.A.Steidinger, 2004",,msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,,microalgae,Primary producer,PP,,1994,1994-1999,,,,,1,,,,,,,,,,,,,
"Kirchenpaueria halecioides (Alder, 1859)","Kirchenpaueria halecioides (Alder, 1859)",,msfd,North-East Atlantic,ATL,Macaronesia,AMA,"41.22,-29.28",41.22,-29.28,"partly native, NEA-MED",non-indigenous,Invertebrate,INV,,1989,1988-1993,,,,,0.5,0.5,,,,,,,,,,,,
"Koinostylochus ostreophagus (Hyman, 1955)","Koinostylochus ostreophagus (Hyman, 1955)",,msfd,North-East Atlantic,ATL,Bay of Biscay & Iberian Coast,ABI,"43.05,-11.45",43.05,-11.45,,non-indigenous,Invertebrate,INV,1970-1979,1975,1970-1975,,,1,,,,,,,,,,,,,,,
"Koinostylochus ostreophagus (Hyman, 1955)","Koinostylochus ostreophagus (Hyman, 1955)",,msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,,non-indigenous,Invertebrate,INV,,1970,1970-1975,,,1,,,,,,,,,,,,,,,
"Labyrinthula zosterae D. Porter & Muehlst. in Muehlstein & Short, 1991",,"Labyrinthula zosterae D. Porter & Muehlst. in Muehlstein & Short, 1991",msfd,North-East Atlantic,ATL,Celtic Seas,ACS,"53.39,-14.17",53.39,-14.17,,pathogen/parasite,Primary producer,PP,,1930,<1970,,,,,,1,,,,,,,,,,,,
"Lactophrys triqueter (Linnaeus, 1758)",,"Lactophrys triqueter (Linnaeus, 1758)",msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Vertebrate,VER,1909,1909,<1970,,,,,,,,,1,,,,,,,,,
"Lagocephalus guentheri Miranda Ribeiro, 1915",,"Lagocephalus guentheri Miranda Ribeiro, 1915",msfd,Mediterranean Sea,MED,Central Mediterranean Sea,MIC,"34.317,15.830",34.317,15.83,,non-indigenous,Vertebrate,VER,2005,2005,2000-2005,,,,,,,,1,,,,,,,,,,
"Lagocephalus guentheri Miranda Ribeiro, 1915",,"Lagocephalus guentheri Miranda Ribeiro, 1915",msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Vertebrate,VER,1952,1952,<1970,,,,,,,,1,,,,,,,,,,
"Lagocephalus sceleratus (Gmelin, 1789)","Lagocephalus sceleratus (Gmelin, 1789)",,msfd,Mediterranean Sea,MED,Adriatic Sea,MAD,"42.448,15.357",42.448,15.357,,non-indigenous,Vertebrate,VER,2012,2012,2012-2017,,,,,,,,1,,,,,,,,,,
"Lagocephalus sceleratus (Gmelin, 1789)","Lagocephalus sceleratus (Gmelin, 1789)",,msfd,Mediterranean Sea,MED,Central Mediterranean Sea,MIC,"34.317,15.830",34.317,15.83,,non-indigenous,Vertebrate,VER,2009,2009,2006-2011,,,,,,,,1,,,,,,,,,,
"Lagocephalus sceleratus (Gmelin, 1789)","Lagocephalus sceleratus (Gmelin, 1789)",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Vertebrate,VER,2004,2004,2000-2005,,,,,,,,1,,,,,,,,,,
"Lagocephalus sceleratus (Gmelin, 1789)","Lagocephalus sceleratus (Gmelin, 1789)",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Vertebrate,VER,2014,2014,2012-2017,,,,,,,,1,,,,,,,,,,
"Lagocephalus suezensis Clark & Gohar, 1953","Lagocephalus suezensis Clark & Gohar, 1953",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Vertebrate,VER,2003,2003,2000-2005,,,,,,,,1,,,,,,,,,,
"Lamprohaminoea ovalis (Pease, 1868) ","Lamprohaminoea ovalis (Pease, 1868) ",,msfd,Mediterranean Sea,MED,Adriatic Sea,MAD,"42.448,15.357",42.448,15.357,,non-indigenous,Invertebrate,INV,2016,2016,2012-2017,,,,,0.5,,,0.5,,,,,,,,,,
"Lamprohaminoea ovalis (Pease, 1868) ","Lamprohaminoea ovalis (Pease, 1868) ",,msfd,Mediterranean Sea,MED,Central Mediterranean Sea,MIC,"34.317,15.830",34.317,15.83,,non-indigenous,Invertebrate,INV,2001,2001,2000-2005,,,,,0.5,,,0.5,,,,,,,,,,
"Lamprohaminoea ovalis (Pease, 1868) ","Lamprohaminoea ovalis (Pease, 1868) ",,msfd,Mediterranean Sea,MED,Eastern Mediterranean Sea,MAL,"33.533,31.182",33.533,31.182,,non-indigenous,Invertebrate,INV,2005,2005,2000-2005,,,,,0.5,,,0.5,,,,,,,,,,
"Lamprohaminoea ovalis (Pease, 1868) ","Lamprohaminoea ovalis (Pease, 1868) ",,msfd,Mediterranean Sea,MED,Western Mediterranean Sea,MWE,"39.506,3.430",39.506,3.43,,non-indigenous,Invertebrate,INV,2008,2008,2006-2011,,,,,0.5,,,0.5,,,,,,,,,,
"Laonome xeprovala Bick & Bastrop, in Bick et al. (2018)","Laonome xeprovala Bick & Bastrop, in Bick et al. (2018)",,msfd,Baltic Sea,BAL,Baltic Sea,BAL,"58.537,20.435",58.537,20.435,,non-indigenous,Invertebrate,INV,2012,2012,2012-2017,,,,,,,,,1,,,,,,,,,
"Laonome xeprovala Bick & Bastrop, in Bick et al. (2018)","Laonome xeprovala Bick & Bastrop, in Bick et al. (2018)",,msfd,Black Sea,BLK,Black Sea,BLK,"43.227,32.008",43.227,32.008,,non-indigenous,Invertebrate,INV,2018,2018,2018-2020,,,,,0.5,0.5,,,,,,,,,,,,
"Laonome xeprovala Bick & Bastrop, in Bick et al. (2018)","Laonome xeprovala Bick & Bastrop, in Bick et al. (2018)",,msfd,North-East Atlantic,ATL,Greater North Sea,ANS,"58.48,2.84",58.48,2.84,,non-indigenous,Invertebrate,inv,,2016,2012-2017,,,,,,,,,1,,,,,,,,,
